"stage,""",1
"""let",4
"fun.""",1
"""fun?""",1
yelped,2
"""fun!""",1
checked,2
again,28
same,15
thing.,2
"""damn",1
"fun!""",1
furiously,2
waving,9
empty,5
beer,2
glass.,1
lunchtime.,1
"""stop,",1
vandals!,1
"wreckers!""",1
bawled,4
crazed,1
"visigoths,",1
"you!""",1
turning,5
packets,2
peanuts.,2
"sir,""",2
slapping,1
"bar,",1
"""twenty-eight",1
pence,2
you'd,8
"kind.""",1
change.,2
shivered:,1
experienced,4
momentary,1
sensation,5
before.,2
moments,5
"stress,",3
every,33
exists,1
gives,5
sublimal,2
signal.,1
signal,3
communicates,1
exact,2
pathetic,1
birth.,1
possible,4
further,14
sixteen,1
"birthplace,",1
isn't,16
"far,",1
signals,3
minute,3
noticed.,1
born,1
600,1
light,36
near,4
reeled,1
hit,6
"shocking,",1
incomprehensible,4
distance.,2
"meant,",1
"respect,",1
awe.,1
"""are",10
"serious,",1
whisper,2
silencing,1
"end?""",1
"""but,",1
"afternoon?""",1
recovered,1
flippest.,1
"gaily,",1
"estimate.""",1
couldn't,19
believe,10
conversation,3
"having,",1
"""isn't",2
"nothing,""",3
stuffing,2
peanuts,2
pockets.,1
hushed,2
laughed,3
raucously,1
become.,1
sozzled,1
meant,3
bag,1
our,37
"something.""",4
us,32
"army,""",1
"man,",17
trek,1
whisky.,1
"""will",3
"help?""",1
"""no,""",10
"""i've",11
"go.""",3
"wave,",1
left.,1
"longer,",1
embarrassingly,1
raucous,1
dragged,3
along,12
grown,3
loathe,2
dearly,1
hour,3
"so,",3
satisfaction,2
evaporate,1
whiff,2
"hydrogen,",2
ozone,2
carbon,2
monoxide.,2
came,31
busy,5
evaporating,1
herself,2
throat.,7
say:,1
"""last",2
"orders,",1
"please.""",1
machines,2
downward,1
move,3
faster.,2
"lane,",1
reached,7
"become,",1
"wind,",2
sudden,15
irrational,2
squall,1
rain.,2
caterpillar,1
crawling,1
rubble,2
home.,1
"barbarians!""",1
yelled.,3
sue,1
penny,1
got!,1
i'll,12
"hung,",2
drawn,2
quartered!,1
whipped!,1
boiled,3
"enough.""",1
"again!""",1
yelled,9
finished,3
"bits,",1
jump,3
"them!""",1
bulldozers;,1
staring,4
hectically,1
sky.,2
noticed,5
clouds.,1
impossibly,2
somethings.,1
jumping,1
"them,""",6
"running,",2
"""until",1
"blisters,",1
unpleasant,6
"do,",2
"tripped,",1
"headlong,",1
landed,2
shot,6
upwards.,2
hell's,1
shrieked.,1
whatever,8
raced,2
monstrous,3
"yellowness,",1
tore,2
apart,4
mind-buggering,1
noise,8
leaving,3
gaping,1
air,25
bang,6
drove,1
